"Station","date-","Daily Rainfall (mm)"
"Haifa University Man 10/1975-04/2023","09/11/2003","31.0"
"Haifa University Man 10/1975-04/2023","10/11/2003","19.9"
"Haifa University Man 10/1975-04/2023","11/11/2003","1.4"
"Haifa University Man 10/1975-04/2023","19/11/2003","3.8"
"Haifa University Man 10/1975-04/2023","23/11/2003","1.0"
"Haifa University Man 10/1975-04/2023","01/12/2003","0.4"
"Haifa University Man 10/1975-04/2023","02/12/2003","1.7"
"Haifa University Man 10/1975-04/2023","03/12/2003","19.1"
"Haifa University Man 10/1975-04/2023","04/12/2003","19.9"
"Haifa University Man 10/1975-04/2023","05/12/2003","3.3"
"Haifa University Man 10/1975-04/2023","06/12/2003","17.7"
"Haifa University Man 10/1975-04/2023","14/12/2003","0.4"
"Haifa University Man 10/1975-04/2023","17/12/2003","19.0"
"Haifa University Man 10/1975-04/2023","18/12/2003","46.5"
"Haifa University Man 10/1975-04/2023","19/12/2003","7.6"
"Haifa University Man 10/1975-04/2023","20/12/2003","1.9"
"Haifa University Man 10/1975-04/2023","23/12/2003","1.8"
"Haifa University Man 10/1975-04/2023","25/12/2003","0.4"
"Haifa University Man 10/1975-04/2023","26/12/2003","61.1"
"Haifa University Man 10/1975-04/2023","27/12/2003","35.6"
"Haifa University Man 10/1975-04/2023","01/01/2004","11.2"
"Haifa University Man 10/1975-04/2023","05/01/2004","8.6"
"Haifa University Man 10/1975-04/2023","06/01/2004","13.8"
"Haifa University Man 10/1975-04/2023","07/01/2004","21.7"
"Haifa University Man 10/1975-04/2023","08/01/2004","4.8"
"Haifa University Man 10/1975-04/2023","09/01/2004","28.4"
"Haifa University Man 10/1975-04/2023","10/01/2004","1.0"
"Haifa University Man 10/1975-04/2023","12/01/2004","12.8"
"Haifa University Man 10/1975-04/2023","13/01/2004","47.4"
"Haifa University Man 10/1975-04/2023","14/01/2004","12.2"
"Haifa University Man 10/1975-04/2023","15/01/2004","3.2"
"Haifa University Man 10/1975-04/2023","17/01/2004","0.3"
"Haifa University Man 10/1975-04/2023","22/01/2004","16.2"
"Haifa University Man 10/1975-04/2023","23/01/2004","73.2"
"Haifa University Man 10/1975-04/2023","24/01/2004","34.0"
"Haifa University Man 10/1975-04/2023","25/01/2004","19.8"
"Haifa University Man 10/1975-04/2023","26/01/2004","42.5"
"Haifa University Man 10/1975-04/2023","27/01/2004","3.6"
"Haifa University Man 10/1975-04/2023","30/01/2004","1.0"
"Haifa University Man 10/1975-04/2023","31/01/2004","18.4"
"Haifa University Man 10/1975-04/2023","01/02/2004","7.0"
"Haifa University Man 10/1975-04/2023","02/02/2004","1.4"
"Haifa University Man 10/1975-04/2023","03/02/2004","4.3"
"Haifa University Man 10/1975-04/2023","04/02/2004","0.5"
"Haifa University Man 10/1975-04/2023","05/02/2004","8.1"
"Haifa University Man 10/1975-04/2023","13/02/2004","17.9"
"Haifa University Man 10/1975-04/2023","14/02/2004","39.1"
"Haifa University Man 10/1975-04/2023","15/02/2004","4.6"
"Haifa University Man 10/1975-04/2023","16/02/2004","25.7"
"Haifa University Man 10/1975-04/2023","18/02/2004","3.0"
"Haifa University Man 10/1975-04/2023","21/02/2004","10.5"
"Haifa University Man 10/1975-04/2023","05/03/2004","20.0"
"Haifa University Man 10/1975-04/2023","06/03/2004","0.6"
"Haifa University Man 10/1975-04/2023","18/03/2004","0.7"
"Haifa University Man 10/1975-04/2023","03/04/2004","10.0"
"Haifa University Man 10/1975-04/2023","22/04/2004","5.0"
"Haifa University Man 10/1975-04/2023","03/05/2004","0.6"
"Haifa University Man 10/1975-04/2023","28/10/2004","0.3"
"Haifa University Man 10/1975-04/2023","29/10/2004","0.3"
"Haifa University 09/2004-04/2023","15/11/2004","0.1"
"Haifa University Man 10/1975-04/2023","15/11/2004","0.1"
"Haifa University Man 10/1975-04/2023","16/11/2004","1.9"
"Haifa University 09/2004-04/2023","17/11/2004","0.5"
"Haifa University Man 10/1975-04/2023","17/11/2004","17.3"
"Haifa University 09/2004-04/2023","18/11/2004","0.1"
"Haifa University Man 10/1975-04/2023","18/11/2004","3.9"
"Haifa University 09/2004-04/2023","20/11/2004","0.1"
"Haifa University 09/2004-04/2023","21/11/2004","24.9"
"Haifa University Man 10/1975-04/2023","21/11/2004","29.8"
"Haifa University 09/2004-04/2023","22/11/2004","7.2"
"Haifa University Man 10/1975-04/2023","22/11/2004","7.9"
"Haifa University 09/2004-04/2023","25/11/2004","50.0"
"Haifa University Man 10/1975-04/2023","25/11/2004","50.1"
"Haifa University 09/2004-04/2023","26/11/2004","7.3"
"Haifa University Man 10/1975-04/2023","26/11/2004","8.0"
"Haifa University 09/2004-04/2023","07/12/2004","16.9"
"Haifa University Man 10/1975-04/2023","07/12/2004","22.1"
"Haifa University 09/2004-04/2023","08/12/2004","0.7"
"Haifa University Man 10/1975-04/2023","08/12/2004","0.6"
"Haifa University 09/2004-04/2023","11/12/2004","3.5"
"Haifa University Man 10/1975-04/2023","11/12/2004","3.5"
"Haifa University 09/2004-04/2023","14/12/2004","0.1"
"Haifa University Man 10/1975-04/2023","14/12/2004","0.2"
"Haifa University 09/2004-04/2023","19/12/2004","0.7"
"Haifa University Man 10/1975-04/2023","19/12/2004","1.0"
"Haifa University 09/2004-04/2023","20/12/2004","13.4"
"Haifa University Man 10/1975-04/2023","20/12/2004","12.2"
"Haifa University 09/2004-04/2023","22/12/2004","1.3"
"Haifa University Man 10/1975-04/2023","22/12/2004","1.2"
"Haifa University 09/2004-04/2023","23/12/2004","0.5"
"Haifa University Man 10/1975-04/2023","23/12/2004","0.9"
"Haifa University 09/2004-04/2023","24/12/2004","20.3"
"Haifa University Man 10/1975-04/2023","24/12/2004","22.8"
"Haifa University 09/2004-04/2023","25/12/2004","6.6"
"Haifa University Man 10/1975-04/2023","25/12/2004","5.6"
"Haifa University 09/2004-04/2023","02/01/2005","2.2"
"Haifa University Man 10/1975-04/2023","02/01/2005","2.5"
"Haifa University 09/2004-04/2023","03/01/2005","3.0"
"Haifa University Man 10/1975-04/2023","03/01/2005","3.2"
"Haifa University 09/2004-04/2023","04/01/2005","16.5"
"Haifa University Man 10/1975-04/2023","04/01/2005","15.4"
"Haifa University 09/2004-04/2023","05/01/2005","42.5"
"Haifa University Man 10/1975-04/2023","05/01/2005","51.4"
"Haifa University 09/2004-04/2023","14/01/2005","4.4"
"Haifa University Man 10/1975-04/2023","14/01/2005","4.6"
"Haifa University 09/2004-04/2023","15/01/2005","12.0"
"Haifa University Man 10/1975-04/2023","15/01/2005","12.6"
"Haifa University 09/2004-04/2023","16/01/2005","6.2"
"Haifa University Man 10/1975-04/2023","16/01/2005","5.8"
"Haifa University 09/2004-04/2023","17/01/2005","27.0"
"Haifa University Man 10/1975-04/2023","17/01/2005","27.5"
"Haifa University 09/2004-04/2023","18/01/2005","64.9"
"Haifa University Man 10/1975-04/2023","18/01/2005","63.5"
"Haifa University 09/2004-04/2023","19/01/2005","13.5"
"Haifa University Man 10/1975-04/2023","19/01/2005","15.2"
"Haifa University 09/2004-04/2023","22/01/2005","8.5"
"Haifa University Man 10/1975-04/2023","22/01/2005","7.6"
"Haifa University 09/2004-04/2023","23/01/2005","20.3"
"Haifa University Man 10/1975-04/2023","23/01/2005","22.3"
"Haifa University 09/2004-04/2023","31/01/2005","9.1"
"Haifa University Man 10/1975-04/2023","31/01/2005","9.0"
"Haifa University 09/2004-04/2023","01/02/2005","20.3"
"Haifa University Man 10/1975-04/2023","01/02/2005","22.0"
"Haifa University 09/2004-04/2023","02/02/2005","7.4"
"Haifa University Man 10/1975-04/2023","02/02/2005","6.8"
"Haifa University 09/2004-04/2023","03/02/2005","6.7"
"Haifa University Man 10/1975-04/2023","03/02/2005","7.2"
"Haifa University 09/2004-04/2023","04/02/2005","21.1"
"Haifa University Man 10/1975-04/2023","04/02/2005","23.5"
"Haifa University 09/2004-04/2023","05/02/2005","20.9"
"Haifa University Man 10/1975-04/2023","05/02/2005","25.3"
"Haifa University 09/2004-04/2023","06/02/2005","11.3"
"Haifa University Man 10/1975-04/2023","06/02/2005","9.6"
"Haifa University 09/2004-04/2023","07/02/2005","9.1"
"Haifa University Man 10/1975-04/2023","07/02/2005","9.6"
"Haifa University 09/2004-04/2023","08/02/2005","4.8"
"Haifa University Man 10/1975-04/2023","08/02/2005","4.8"
"Haifa University 09/2004-04/2023","09/02/2005","0.3"
"Haifa University Man 10/1975-04/2023","09/02/2005","0.4"
"Haifa University 09/2004-04/2023","11/02/2005","0.9"
"Haifa University Man 10/1975-04/2023","11/02/2005","1.5"
"Haifa University 09/2004-04/2023","12/02/2005","5.0"
"Haifa University Man 10/1975-04/2023","12/02/2005","7.7"
"Haifa University 09/2004-04/2023","13/02/2005","0.8"
"Haifa University Man 10/1975-04/2023","13/02/2005","1.2"
"Haifa University 09/2004-04/2023","19/02/2005","3.7"
"Haifa University Man 10/1975-04/2023","19/02/2005","4.1"
"Haifa University 09/2004-04/2023","20/02/2005","3.1"
"Haifa University Man 10/1975-04/2023","20/02/2005","3.1"
"Haifa University 09/2004-04/2023","02/03/2005","0.2"
"Haifa University Man 10/1975-04/2023","02/03/2005","0.2"
"Haifa University 09/2004-04/2023","03/03/2005","4.2"
"Haifa University Man 10/1975-04/2023","03/03/2005","5.5"
"Haifa University 09/2004-04/2023","07/03/2005","0.1"
"Haifa University Man 10/1975-04/2023","07/03/2005","0.2"
"Haifa University 09/2004-04/2023","08/03/2005","1.1"
"Haifa University Man 10/1975-04/2023","08/03/2005","2.0"
"Haifa University 09/2004-04/2023","09/03/2005","1.5"
"Haifa University Man 10/1975-04/2023","09/03/2005","1.1"
"Haifa University 09/2004-04/2023","11/03/2005","4.2"
"Haifa University Man 10/1975-04/2023","11/03/2005","4.7"
"Haifa University 09/2004-04/2023","12/03/2005","0.5"
"Haifa University Man 10/1975-04/2023","12/03/2005","0.3"
"Haifa University 09/2004-04/2023","01/04/2005","0.4"
"Haifa University Man 10/1975-04/2023","01/04/2005","0.7"
"Haifa University 09/2004-04/2023","02/04/2005","4.0"
"Haifa University Man 10/1975-04/2023","02/04/2005","4.0"
"Haifa University 09/2004-04/2023","03/04/2005","4.9"
"Haifa University Man 10/1975-04/2023","03/04/2005","5.2"
"Haifa University 09/2004-04/2023","22/04/2005","1.0"
"Haifa University Man 10/1975-04/2023","22/04/2005","1.0"
"Haifa University 09/2004-04/2023","04/05/2005","5.5"
"Haifa University Man 10/1975-04/2023","04/05/2005","6.0"
"Haifa University 09/2004-04/2023","29/05/2005","1.5"
"Haifa University Man 10/1975-04/2023","29/05/2005","1.5"
"Haifa University Man 10/1975-04/2023","14/09/2005","0.6"
"Haifa University 09/2004-04/2023","17/09/2005","26.0"
"Haifa University Man 10/1975-04/2023","17/09/2005","22.5"
"Haifa University 09/2004-04/2023","16/10/2005","2.8"
"Haifa University Man 10/1975-04/2023","16/10/2005","3.0"
"Haifa University 09/2004-04/2023","18/10/2005","6.1"
"Haifa University Man 10/1975-04/2023","18/10/2005","6.4"
"Haifa University 09/2004-04/2023","19/10/2005","4.2"
"Haifa University Man 10/1975-04/2023","19/10/2005","4.4"
"Haifa University 09/2004-04/2023","29/10/2005","0.1"
"Haifa University 09/2004-04/2023","30/10/2005","5.6"
"Haifa University Man 10/1975-04/2023","30/10/2005","6.8"
"Haifa University 09/2004-04/2023","31/10/2005","1.4"
"Haifa University Man 10/1975-04/2023","31/10/2005","1.8"
"Haifa University 09/2004-04/2023","02/11/2005","0.5"
"Haifa University Man 10/1975-04/2023","02/11/2005","0.6"
"Haifa University 09/2004-04/2023","03/11/2005","0.1"
"Haifa University 09/2004-04/2023","04/11/2005","10.8"
"Haifa University Man 10/1975-04/2023","04/11/2005","15.3"
"Haifa University 09/2004-04/2023","06/11/2005","10.9"
