"Station","date-","Maximum Temperature (°C)","Minimum Temperature (°C)"
"Haifa Technion 01/1995-04/2023","18/02/2000","17.7","8.6"
"Haifa Technion 01/1995-04/2023","19/02/2000","17.8","10.5"
"Haifa Technion 01/1995-04/2023","20/02/2000","15.4","10.4"
"Haifa Technion 01/1995-04/2023","21/02/2000","16.1","8.2"
"Haifa Technion 01/1995-04/2023","22/02/2000","16.3","10.4"
"Haifa Technion 01/1995-04/2023","23/02/2000","14.7","10.3"
"Haifa Technion 01/1995-04/2023","24/02/2000","14.4","9.0"
"Haifa Technion 01/1995-04/2023","25/02/2000","14.9","9.5"
"Haifa Technion 01/1995-04/2023","26/02/2000","14.5","8.2"
"Haifa Technion 01/1995-04/2023","27/02/2000","14.2","9.3"
"Haifa Technion 01/1995-04/2023","28/02/2000","13.8","8.1"
"Haifa Technion 01/1995-04/2023","29/02/2000","16.3","8.2"
"Haifa Technion 01/1995-04/2023","01/03/2000","14.0","8.0"
"Haifa Technion 01/1995-04/2023","02/03/2000","14.8","8.4"
"Haifa Technion 01/1995-04/2023","03/03/2000","16.9","9.2"
"Haifa Technion 01/1995-04/2023","04/03/2000","15.2","10.0"
"Haifa Technion 01/1995-04/2023","05/03/2000","16.2","9.8"
"Haifa Technion 01/1995-04/2023","06/03/2000","15.1","9.4"
"Haifa Technion 01/1995-04/2023","07/03/2000","13.7","7.8"
"Haifa Technion 01/1995-04/2023","08/03/2000","11.8","7.0"
"Haifa Technion 01/1995-04/2023","09/03/2000","13.7","5.6"
"Haifa Technion 01/1995-04/2023","10/03/2000","16.0","7.2"
"Haifa Technion 01/1995-04/2023","11/03/2000","15.4","10.7"
"Haifa Technion 01/1995-04/2023","12/03/2000","16.5","11.9"
"Haifa Technion 01/1995-04/2023","13/03/2000","16.0","11.2"
"Haifa Technion 01/1995-04/2023","14/03/2000","16.9","9.7"
"Haifa Technion 01/1995-04/2023","15/03/2000","17.1","9.7"
"Haifa Technion 01/1995-04/2023","16/03/2000","17.8","10.0"
"Haifa Technion 01/1995-04/2023","17/03/2000","20.6","11.9"
"Haifa Technion 01/1995-04/2023","18/03/2000","19.9","11.7"
"Haifa Technion 01/1995-04/2023","19/03/2000","16.7","9.1"
"Haifa Technion 01/1995-04/2023","20/03/2000","17.4","10.1"
"Haifa Technion 01/1995-04/2023","21/03/2000","14.6","10.7"
"Haifa Technion 01/1995-04/2023","22/03/2000","15.1","10.2"
"Haifa Technion 01/1995-04/2023","23/03/2000","13.5","8.2"
"Haifa Technion 01/1995-04/2023","24/03/2000","15.9","6.3"
"Haifa Technion 01/1995-04/2023","25/03/2000","16.5","11.3"
"Haifa Technion 01/1995-04/2023","26/03/2000","17.0","9.4"
"Haifa Technion 01/1995-04/2023","27/03/2000","19.5","10.4"
"Haifa Technion 01/1995-04/2023","28/03/2000","20.7","11.4"
"Haifa Technion 01/1995-04/2023","29/03/2000","18.8","12.8"
"Haifa Technion 01/1995-04/2023","30/03/2000","18.8","12.1"
"Haifa Technion 01/1995-04/2023","31/03/2000","21.4","11.6"
"Haifa Technion 01/1995-04/2023","01/04/2000","28.1","16.2"
"Haifa Technion 01/1995-04/2023","02/04/2000","30.9","16.6"
"Haifa Technion 01/1995-04/2023","03/04/2000","20.8","14.1"
"Haifa Technion 01/1995-04/2023","04/04/2000","19.8","13.6"
"Haifa Technion 01/1995-04/2023","05/04/2000","22.0","12.4"
"Haifa Technion 01/1995-04/2023","06/04/2000","32.2","16.3"
"Haifa Technion 01/1995-04/2023","07/04/2000","23.7","14.6"
"Haifa Technion 01/1995-04/2023","08/04/2000","18.0","12.6"
"Haifa Technion 01/1995-04/2023","09/04/2000","18.7","13.7"
"Haifa Technion 01/1995-04/2023","10/04/2000","17.0","11.5"
"Haifa Technion 01/1995-04/2023","11/04/2000","26.2","10.6"
"Haifa Technion 01/1995-04/2023","12/04/2000","33.3","22.0"
"Haifa Technion 01/1995-04/2023","13/04/2000","31.2","15.8"
"Haifa Technion 01/1995-04/2023","14/04/2000","18.7","14.4"
"Haifa Technion 01/1995-04/2023","15/04/2000","19.7","14.4"
"Haifa Technion 01/1995-04/2023","16/04/2000","21.4","13.2"
"Haifa Technion 01/1995-04/2023","17/04/2000","29.6","13.2"
"Haifa Technion 01/1995-04/2023","18/04/2000","27.9","18.0"
"Haifa Technion 01/1995-04/2023","19/04/2000","25.7","16.6"
"Haifa Technion 01/1995-04/2023","20/04/2000","21.4","14.8"
"Haifa Technion 01/1995-04/2023","21/04/2000","20.4","14.4"
"Haifa Technion 01/1995-04/2023","22/04/2000","18.4","14.6"
"Haifa Technion 01/1995-04/2023","23/04/2000","20.4","12.6"
"Haifa Technion 01/1995-04/2023","24/04/2000","20.4","13.1"
"Haifa Technion 01/1995-04/2023","25/04/2000","19.9","13.8"
"Haifa Technion 01/1995-04/2023","26/04/2000","24.4","12.8"
"Haifa Technion 01/1995-04/2023","27/04/2000","22.2","15.3"
"Haifa Technion 01/1995-04/2023","28/04/2000","21.2","15.2"
"Haifa Technion 01/1995-04/2023","29/04/2000","19.1","14.0"
"Haifa Technion 01/1995-04/2023","30/04/2000","20.0","13.9"
"Haifa Technion 01/1995-04/2023","01/05/2000","20.4","12.9"
"Haifa Technion 01/1995-04/2023","02/05/2000","23.4","14.4"
"Haifa Technion 01/1995-04/2023","03/05/2000","24.2","14.4"
"Haifa Technion 01/1995-04/2023","04/05/2000","28.4","17.7"
"Haifa Technion 01/1995-04/2023","05/05/2000","20.6","15.8"
"Haifa Technion 01/1995-04/2023","06/05/2000","19.9","14.4"
"Haifa Technion 01/1995-04/2023","07/05/2000","19.1","12.2"
"Haifa Technion 01/1995-04/2023","08/05/2000","19.4","14.1"
"Haifa Technion 01/1995-04/2023","09/05/2000","23.2","14.2"
"Haifa Technion 01/1995-04/2023","10/05/2000","23.5","14.0"
"Haifa Technion 01/1995-04/2023","11/05/2000","23.1","17.1"
"Haifa Technion 01/1995-04/2023","12/05/2000","24.1","15.1"
"Haifa Technion 01/1995-04/2023","13/05/2000","24.0","15.9"
"Haifa Technion 01/1995-04/2023","14/05/2000","25.5","15.5"
"Haifa Technion 01/1995-04/2023","15/05/2000","24.0","15.7"
"Haifa Technion 01/1995-04/2023","16/05/2000","24.4","16.7"
"Haifa Technion 01/1995-04/2023","17/05/2000","28.1","16.4"
"Haifa Technion 01/1995-04/2023","18/05/2000","25.9","19.1"
"Haifa Technion 01/1995-04/2023","19/05/2000","21.8","18.0"
"Haifa Technion 01/1995-04/2023","20/05/2000","23.0","17.2"
"Haifa Technion 01/1995-04/2023","21/05/2000","24.3","15.8"
"Haifa Technion 01/1995-04/2023","22/05/2000","23.4","15.7"
"Haifa Technion 01/1995-04/2023","23/05/2000","21.9","16.7"
"Haifa Technion 01/1995-04/2023","24/05/2000","22.1","16.1"
"Haifa Technion 01/1995-04/2023","25/05/2000","26.3","14.8"
"Haifa Technion 01/1995-04/2023","26/05/2000","22.5","17.6"
"Haifa Technion 01/1995-04/2023","27/05/2000","23.6","17.8"
"Haifa Technion 01/1995-04/2023","28/05/2000","26.0","18.0"
"Haifa Technion 01/1995-04/2023","29/05/2000","27.0","18.2"
"Haifa Technion 01/1995-04/2023","30/05/2000","27.7","19.4"
"Haifa Technion 01/1995-04/2023","31/05/2000","27.8","21.4"
"Haifa Technion 01/1995-04/2023","01/06/2000","27.8","19.2"
"Haifa Technion 01/1995-04/2023","02/06/2000","25.2","19.4"
"Haifa Technion 01/1995-04/2023","03/06/2000","23.3","19.8"
"Haifa Technion 01/1995-04/2023","04/06/2000","23.9","19.3"
"Haifa Technion 01/1995-04/2023","05/06/2000","24.3","19.5"
"Haifa Technion 01/1995-04/2023","06/06/2000","23.3","18.7"
"Haifa Technion 01/1995-04/2023","07/06/2000","23.8","17.7"
"Haifa Technion 01/1995-04/2023","08/06/2000","24.7","18.8"
"Haifa Technion 01/1995-04/2023","09/06/2000","25.2","19.8"
"Haifa Technion 01/1995-04/2023","10/06/2000","27.3","21.5"
"Haifa Technion 01/1995-04/2023","11/06/2000","30.0","21.2"
"Haifa Technion 01/1995-04/2023","12/06/2000","28.6","21.7"
"Haifa Technion 01/1995-04/2023","13/06/2000","30.0","21.1"
"Haifa Technion 01/1995-04/2023","14/06/2000","31.6","22.7"
"Haifa Technion 01/1995-04/2023","15/06/2000","31.9","22.6"
"Haifa Technion 01/1995-04/2023","16/06/2000","30.7","21.1"
"Haifa Technion 01/1995-04/2023","17/06/2000","30.4","20.8"
"Haifa Technion 01/1995-04/2023","18/06/2000","28.4","21.8"
"Haifa Technion 01/1995-04/2023","19/06/2000","26.1","21.9"
"Haifa Technion 01/1995-04/2023","20/06/2000","26.2","19.2"
"Haifa Technion 01/1995-04/2023","21/06/2000","26.1","21.5"
"Haifa Technion 01/1995-04/2023","22/06/2000","27.2","21.3"
"Haifa Technion 01/1995-04/2023","23/06/2000","27.2","20.9"
"Haifa Technion 01/1995-04/2023","24/06/2000","27.7","21.8"
"Haifa Technion 01/1995-04/2023","25/06/2000","",""
"Haifa Technion 01/1995-04/2023","26/06/2000","",""
"Haifa Technion 01/1995-04/2023","27/06/2000","",""
"Haifa Technion 01/1995-04/2023","28/06/2000","",""
"Haifa Technion 01/1995-04/2023","29/06/2000","",""
"Haifa Technion 01/1995-04/2023","30/06/2000","",""
"Haifa Technion 01/1995-04/2023","01/07/2000","",""
"Haifa Technion 01/1995-04/2023","02/07/2000","",""
"Haifa Technion 01/1995-04/2023","03/07/2000","",""
"Haifa Technion 01/1995-04/2023","04/07/2000","32.0","24.8"
"Haifa Technion 01/1995-04/2023","05/07/2000","29.6","23.1"
"Haifa Technion 01/1995-04/2023","06/07/2000","30.1","23.7"
"Haifa Technion 01/1995-04/2023","07/07/2000","32.6","23.1"
"Haifa Technion 01/1995-04/2023","08/07/2000","33.0","24.1"
"Haifa Technion 01/1995-04/2023","09/07/2000","29.8","24.1"
"Haifa Technion 01/1995-04/2023","10/07/2000","30.6","24.4"
"Haifa Technion 01/1995-04/2023","11/07/2000","29.9","24.0"
"Haifa Technion 01/1995-04/2023","12/07/2000","29.2","24.4"
"Haifa Technion 01/1995-04/2023","13/07/2000","29.7","24.4"
"Haifa Technion 01/1995-04/2023","14/07/2000","32.0","23.9"
"Haifa Technion 01/1995-04/2023","15/07/2000","28.6","23.8"
"Haifa Technion 01/1995-04/2023","16/07/2000","28.7","21.5"
"Haifa Technion 01/1995-04/2023","17/07/2000","28.1","22.3"
"Haifa Technion 01/1995-04/2023","18/07/2000","27.5","22.7"
"Haifa Technion 01/1995-04/2023","19/07/2000","28.2","23.1"
"Haifa Technion 01/1995-04/2023","20/07/2000","28.6","23.2"
"Haifa Technion 01/1995-04/2023","21/07/2000","29.7","21.0"
"Haifa Technion 01/1995-04/2023","22/07/2000","28.9","21.2"
"Haifa Technion 01/1995-04/2023","23/07/2000","26.7","21.2"
"Haifa Technion 01/1995-04/2023","24/07/2000","27.9","21.7"
"Haifa Technion 01/1995-04/2023","25/07/2000","29.7","22.3"
"Haifa Technion 01/1995-04/2023","26/07/2000","30.1","23.6"
"Haifa Technion 01/1995-04/2023","27/07/2000","30.3","23.9"
"Haifa Technion 01/1995-04/2023","28/07/2000","31.8","24.8"
"Haifa Technion 01/1995-04/2023","29/07/2000","34.5","23.5"
"Haifa Technion 01/1995-04/2023","30/07/2000","34.7","25.0"
"Haifa Technion 01/1995-04/2023","31/07/2000","34.9","26.3"
"Haifa Technion 01/1995-04/2023","01/08/2000","28.7","24.1"
"Haifa Technion 01/1995-04/2023","02/08/2000","28.7","23.7"
"Haifa Technion 01/1995-04/2023","03/08/2000","30.7","24.4"
"Haifa Technion 01/1995-04/2023","04/08/2000","30.3","23.6"
"Haifa Technion 01/1995-04/2023","05/08/2000","28.8","23.0"
"Haifa Technion 01/1995-04/2023","06/08/2000","29.0","22.7"
"Haifa Technion 01/1995-04/2023","07/08/2000","28.9","23.5"
"Haifa Technion 01/1995-04/2023","08/08/2000","28.8","23.9"
"Haifa Technion 01/1995-04/2023","09/08/2000","28.6","23.3"
"Haifa Technion 01/1995-04/2023","10/08/2000","27.2","22.7"
"Haifa Technion 01/1995-04/2023","11/08/2000","27.4","22.9"
"Haifa Technion 01/1995-04/2023","12/08/2000","28.6","22.7"
"Haifa Technion 01/1995-04/2023","13/08/2000","28.0","24.5"
"Haifa Technion 01/1995-04/2023","14/08/2000","28.8","23.0"
"Haifa Technion 01/1995-04/2023","15/08/2000","28.4","23.5"
"Haifa Technion 01/1995-04/2023","16/08/2000","28.7","24.0"
"Haifa Technion 01/1995-04/2023","17/08/2000","28.9","24.4"
"Haifa Technion 01/1995-04/2023","18/08/2000","28.7","24.6"
"Haifa Technion 01/1995-04/2023","19/08/2000","28.3","23.4"
"Haifa Technion 01/1995-04/2023","20/08/2000","28.4","22.8"
"Haifa Technion 01/1995-04/2023","21/08/2000","29.1","22.1"
"Haifa Technion 01/1995-04/2023","22/08/2000","28.9","24.1"
"Haifa Technion 01/1995-04/2023","23/08/2000","28.8","24.2"
"Haifa Technion 01/1995-04/2023","24/08/2000","28.7","22.8"
"Haifa Technion 01/1995-04/2023","25/08/2000","28.5","23.3"
"Haifa Technion 01/1995-04/2023","26/08/2000","31.2","22.8"
"Haifa Technion 01/1995-04/2023","27/08/2000","29.2","22.2"
"Haifa Technion 01/1995-04/2023","28/08/2000","29.3","23.6"
"Haifa Technion 01/1995-04/2023","29/08/2000","29.3","22.3"
"Haifa Technion 01/1995-04/2023","30/08/2000","28.4","23.2"
"Haifa Technion 01/1995-04/2023","31/08/2000","28.6","22.1"
"Haifa Technion 01/1995-04/2023","01/09/2000","29.6","23.7"
"Haifa Technion 01/1995-04/2023","02/09/2000","28.7","23.1"
"Haifa Technion 01/1995-04/2023","03/09/2000","28.8","22.4"
"Haifa Technion 01/1995-04/2023","04/09/2000","28.1","22.9"
"Haifa Technion 01/1995-04/2023","05/09/2000","27.8","22.2"
"Haifa Technion 01/1995-04/2023","06/09/2000","29.0","23.5"
"Haifa Technion 01/1995-04/2023","07/09/2000","28.0","23.0"
"Haifa Technion 01/1995-04/2023","08/09/2000","27.3","21.0"
"Haifa Technion 01/1995-04/2023","09/09/2000","27.1","20.1"
"Haifa Technion 01/1995-04/2023","10/09/2000","27.3","22.8"
"Haifa Technion 01/1995-04/2023","11/09/2000","27.8","22.8"
"Haifa Technion 01/1995-04/2023","12/09/2000","28.1","22.6"
"Haifa Technion 01/1995-04/2023","13/09/2000","27.8","23.7"
"Haifa Technion 01/1995-04/2023","14/09/2000","27.5","21.1"
"Haifa Technion 01/1995-04/2023","15/09/2000","27.3","20.4"
"Haifa Technion 01/1995-04/2023","16/09/2000","27.0","20.5"
"Haifa Technion 01/1995-04/2023","17/09/2000","26.8","21.6"
"Haifa Technion 01/1995-04/2023","18/09/2000","26.8","21.2"
"Haifa Technion 01/1995-04/2023","19/09/2000","26.8","23.3"
"Haifa Technion 01/1995-04/2023","20/09/2000","27.8","22.7"
"Haifa Technion 01/1995-04/2023","21/09/2000","30.6","23.1"
"Haifa Technion 01/1995-04/2023","22/09/2000","29.4","23.4"
"Haifa Technion 01/1995-04/2023","23/09/2000","28.9","21.5"
"Haifa Technion 01/1995-04/2023","24/09/2000","28.0","22.7"
"Haifa Technion 01/1995-04/2023","25/09/2000","27.3","21.8"
"Haifa Technion 01/1995-04/2023","26/09/2000","26.4","21.4"
"Haifa Technion 01/1995-04/2023","27/09/2000","25.8","21.1"
"Haifa Technion 01/1995-04/2023","28/09/2000","25.3","20.5"
"Haifa Technion 01/1995-04/2023","29/09/2000","25.6","19.5"
"Haifa Technion 01/1995-04/2023","30/09/2000","25.0","20.0"
"Haifa Technion 01/1995-04/2023","01/10/2000","25.4","19.4"
"Haifa Technion 01/1995-04/2023","02/10/2000","25.8","19.6"
"Haifa Technion 01/1995-04/2023","03/10/2000","31.6","20.0"
"Haifa Technion 01/1995-04/2023","04/10/2000","34.4","23.5"
"Haifa Technion 01/1995-04/2023","05/10/2000","34.4","26.7"
"Haifa Technion 01/1995-04/2023","06/10/2000","34.3","23.9"
"Haifa Technion 01/1995-04/2023","07/10/2000","26.8","22.1"
"Haifa Technion 01/1995-04/2023","08/10/2000","27.9","20.1"
"Haifa Technion 01/1995-04/2023","09/10/2000","30.0","21.6"
"Haifa Technion 01/1995-04/2023","10/10/2000","26.7","21.5"
"Haifa Technion 01/1995-04/2023","11/10/2000","25.5","20.6"
"Haifa Technion 01/1995-04/2023","12/10/2000","24.6","18.3"
"Haifa Technion 01/1995-04/2023","13/10/2000","24.7","20.3"
"Haifa Technion 01/1995-04/2023","14/10/2000","25.1","20.2"
"Haifa Technion 01/1995-04/2023","15/10/2000","24.2","19.0"
"Haifa Technion 01/1995-04/2023","16/10/2000","25.7","18.3"
"Haifa Technion 01/1995-04/2023","17/10/2000","25.7","18.9"
"Haifa Technion 01/1995-04/2023","18/10/2000","24.9","18.9"
"Haifa Technion 01/1995-04/2023","19/10/2000","24.7","17.3"
"Haifa Technion 01/1995-04/2023","20/10/2000","24.4","19.0"
"Haifa Technion 01/1995-04/2023","21/10/2000","23.7","19.6"
"Haifa Technion 01/1995-04/2023","22/10/2000","22.1","19.3"
"Haifa Technion 01/1995-04/2023","23/10/2000","19.6","15.1"
"Haifa Technion 01/1995-04/2023","24/10/2000","17.6","12.9"
"Haifa Technion 01/1995-04/2023","25/10/2000","15.5","12.1"
"Haifa Technion 01/1995-04/2023","26/10/2000","20.3","12.4"
"Haifa Technion 01/1995-04/2023","27/10/2000","21.1","14.3"
"Haifa Technion 01/1995-04/2023","28/10/2000","22.8","15.0"
"Haifa Technion 01/1995-04/2023","29/10/2000","22.2","15.8"
"Haifa Technion 01/1995-04/2023","30/10/2000","22.3","16.3"
"Haifa Technion 01/1995-04/2023","31/10/2000","22.5","15.3"
"Haifa Technion 01/1995-04/2023","01/11/2000","21.4","16.8"
"Haifa Technion 01/1995-04/2023","02/11/2000","22.0","15.2"
"Haifa Technion 01/1995-04/2023","03/11/2000","21.7","15.1"
"Haifa Technion 01/1995-04/2023","04/11/2000","22.4","16.2"
"Haifa Technion 01/1995-04/2023","05/11/2000","23.6","16.0"
"Haifa Technion 01/1995-04/2023","06/11/2000","23.0","15.6"
"Haifa Technion 01/1995-04/2023","07/11/2000","24.4","16.4"
"Haifa Technion 01/1995-04/2023","08/11/2000","24.5","17.8"
"Haifa Technion 01/1995-04/2023","09/11/2000","24.7","17.1"
"Haifa Technion 01/1995-04/2023","10/11/2000","25.6","17.3"
"Haifa Technion 01/1995-04/2023","11/11/2000","26.9","17.8"
"Haifa Technion 01/1995-04/2023","12/11/2000","26.6","18.3"
"Haifa Technion 01/1995-04/2023","13/11/2000","25.3","18.3"
"Haifa Technion 01/1995-04/2023","14/11/2000","23.6","16.7"
"Haifa Technion 01/1995-04/2023","15/11/2000","24.6","18.1"
"Haifa Technion 01/1995-04/2023","16/11/2000","23.3","17.3"
"Haifa Technion 01/1995-04/2023","17/11/2000","22.7","16.9"
"Haifa Technion 01/1995-04/2023","18/11/2000","18.2","13.5"
"Haifa Technion 01/1995-04/2023","19/11/2000","21.8","12.6"
"Haifa Technion 01/1995-04/2023","20/11/2000","22.0","14.9"
"Haifa Technion 01/1995-04/2023","21/11/2000","22.2","13.8"
"Haifa Technion 01/1995-04/2023","22/11/2000","20.4","14.1"
"Haifa Technion 01/1995-04/2023","23/11/2000","20.1","14.0"
"Haifa Technion 01/1995-04/2023","24/11/2000","20.8","13.4"
"Haifa Technion 01/1995-04/2023","25/11/2000","21.3","14.4"
"Haifa Technion 01/1995-04/2023","26/11/2000","21.9","14.6"
"Haifa Technion 01/1995-04/2023","27/11/2000","22.0","14.1"
"Haifa Technion 01/1995-04/2023","28/11/2000","20.4","15.5"
"Haifa Technion 01/1995-04/2023","29/11/2000","18.9","13.4"
"Haifa Technion 01/1995-04/2023","30/11/2000","17.1","10.9"
"Haifa Technion 01/1995-04/2023","01/12/2000","17.9","13.1"
"Haifa Technion 01/1995-04/2023","02/12/2000","18.3","12.6"
"Haifa Technion 01/1995-04/2023","03/12/2000","19.9","13.9"
"Haifa Technion 01/1995-04/2023","04/12/2000","19.7","14.5"
"Haifa Technion 01/1995-04/2023","05/12/2000","19.5","14.5"
"Haifa Technion 01/1995-04/2023","06/12/2000","20.4","13.0"
"Haifa Technion 01/1995-04/2023","07/12/2000","18.4","13.4"
"Haifa Technion 01/1995-04/2023","08/12/2000","17.8","12.8"
"Haifa Technion 01/1995-04/2023","09/12/2000","14.7","10.3"
"Haifa Technion 01/1995-04/2023","10/12/2000","16.2","11.0"
"Haifa Technion 01/1995-04/2023","11/12/2000","18.1","11.9"
"Haifa Technion 01/1995-04/2023","12/12/2000","16.4","12.6"
"Haifa Technion 01/1995-04/2023","13/12/2000","16.4","10.2"
"Haifa Technion 01/1995-04/2023","14/12/2000","15.4","9.3"
"Haifa Technion 01/1995-04/2023","15/12/2000","17.5","10.7"
"Haifa Technion 01/1995-04/2023","16/12/2000","17.1","13.5"
"Haifa Technion 01/1995-04/2023","17/12/2000","19.3","13.2"
"Haifa Technion 01/1995-04/2023","18/12/2000","19.2","13.1"
"Haifa Technion 01/1995-04/2023","19/12/2000","17.5","13.0"
"Haifa Technion 01/1995-04/2023","20/12/2000","16.2","10.5"
"Haifa Technion 01/1995-04/2023","21/12/2000","15.9","11.4"
"Haifa Technion 01/1995-04/2023","22/12/2000","14.9","9.0"
"Haifa Technion 01/1995-04/2023","23/12/2000","16.7","9.0"
"Haifa Technion 01/1995-04/2023","24/12/2000","16.1","11.7"
"Haifa Technion 01/1995-04/2023","25/12/2000","14.5","10.3"
"Haifa Technion 01/1995-04/2023","26/12/2000","15.5","10.1"
"Haifa Technion 01/1995-04/2023","27/12/2000","16.6","9.8"
"Haifa Technion 01/1995-04/2023","28/12/2000","18.2","11.2"
"Haifa Technion 01/1995-04/2023","29/12/2000","19.2","12.0"
"Haifa Technion 01/1995-04/2023","30/12/2000","18.7","12.9"
"Haifa Technion 01/1995-04/2023","31/12/2000","17.6","13.0"
"Haifa Technion 01/1995-04/2023","01/01/2001","19.4","11.6"
"Haifa Technion 01/1995-04/2023","02/01/2001","17.6","11.6"
"Haifa Technion 01/1995-04/2023","03/01/2001","15.7","8.6"
"Haifa Technion 01/1995-04/2023","04/01/2001","16.7","10.3"
"Haifa Technion 01/1995-04/2023","05/01/2001","16.7","11.5"
"Haifa Technion 01/1995-04/2023","06/01/2001","17.5","12.2"
"Haifa Technion 01/1995-04/2023","07/01/2001","18.5","12.2"
"Haifa Technion 01/1995-04/2023","08/01/2001","17.0","11.1"
"Haifa Technion 01/1995-04/2023","09/01/2001","17.4","12.1"
"Haifa Technion 01/1995-04/2023","10/01/2001","17.5","11.7"
"Haifa Technion 01/1995-04/2023","11/01/2001","18.1","13.3"
"Haifa Technion 01/1995-04/2023","12/01/2001","17.0","12.6"
"Haifa Technion 01/1995-04/2023","13/01/2001","18.1","10.2"
"Haifa Technion 01/1995-04/2023","14/01/2001","19.6","10.1"
"Haifa Technion 01/1995-04/2023","15/01/2001","20.8","13.7"
"Haifa Technion 01/1995-04/2023","16/01/2001","18.3","12.8"
"Haifa Technion 01/1995-04/2023","17/01/2001","17.7","11.5"
"Haifa Technion 01/1995-04/2023","18/01/2001","18.1","10.8"
"Haifa Technion 01/1995-04/2023","19/01/2001","14.8","10.1"
"Haifa Technion 01/1995-04/2023","20/01/2001","15.7","11.1"
"Haifa Technion 01/1995-04/2023","21/01/2001","15.5","9.7"
"Haifa Technion 01/1995-04/2023","22/01/2001","15.4","10.0"
"Haifa Technion 01/1995-04/2023","23/01/2001","14.8","9.2"
"Haifa Technion 01/1995-04/2023","24/01/2001","15.4","9.2"
"Haifa Technion 01/1995-04/2023","25/01/2001","14.6","10.4"
"Haifa Technion 01/1995-04/2023","26/01/2001","12.5","6.2"
"Haifa Technion 01/1995-04/2023","27/01/2001","14.0","5.7"
"Haifa Technion 01/1995-04/2023","28/01/2001","15.6","7.0"
"Haifa Technion 01/1995-04/2023","29/01/2001","17.1","9.2"
"Haifa Technion 01/1995-04/2023","30/01/2001","18.9","10.9"
"Haifa Technion 01/1995-04/2023","31/01/2001","19.8","12.1"
"Haifa Technion 01/1995-04/2023","01/02/2001","20.1","12.7"
"Haifa Technion 01/1995-04/2023","02/02/2001","17.3","11.4"
